sectioncode,Municipio,Mesa,sec,dis,Votos Totales,Votos Blancos,Votos Nulos,IZQESP,CEUS,FO,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),JUNTS UE,PSOE,ANDALUCISTAS,IE,VOX,PP,ESCAÑOS EN BLANCO,CRT,PODEMOS,PFAC,PCTE,PCPE/PCPC,SUMAR ANDALUCÍA,PACMA,CREE EN EUROPA,PMR,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",F,EXISTE,Cs,FE de las JONS,SAE,J.U.E.X.,PH,VOLT,RECORTES CERO,EXTREMEÑOS,GLG,PIRATAS / REBELDES,PREPAL,max,p_ganador,ganador,%blanco,%nulo,IZQESP,CEUS,FO,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),JUNTS UE,PSOE,ANDALUCISTAS,IE,VOX,PP,ESCAÑOS EN BLANCO,CRT,PODEMOS,PFAC,PCTE,PCPE/PCPC,SUMAR ANDALUCÍA,PACMA,CREE EN EUROPA,PMR,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",F,EXISTE,Cs,FE de las JONS,SAE,J.U.E.X.,PH,VOLT,RECORTES CERO,EXTREMEÑOS,GLG,PIRATAS / REBELDES,PREPAL,Distrito
2900701020,Alhaurín de la Torre,1020,20,1,1053,6,4,2,0,3,2,0,226,13,7,124,459,1,0,33,1,0,0,42,8,1,0,108,0,0,11,0,0,0,0,2,0,0,0,0,0,459,10,PP,"0,6","0,4","0,2",0,"0,3","0,2",0,"21,5","1,2","0,7","11,8","43,6","0,1",0,"3,1","0,1",0,0,4,"0,8","0,1",0,"10,3",0,0,1,0,0,0,0,"0,2",0,0,0,0,0,"Sección 20,Distrito 1"
2900701021,Alhaurín de la Torre,1021,21,1,485,5,6,4,0,2,0,0,131,2,0,51,190,0,0,9,0,0,0,31,2,0,0,44,0,1,2,1,1,0,0,2,1,0,0,0,0,190,10,PP,1,"1,2","0,8",0,"0,4",0,0,27,"0,4",0,"10,5","39,2",0,0,"1,9",0,0,0,"6,4","0,4",0,0,"9,1",0,"0,2","0,4","0,2","0,2",0,0,"0,4","0,2",0,0,0,0,"Sección 21,Distrito 1"
2900701022,Alhaurín de la Torre,1022,22,1,303,2,2,0,0,1,0,0,111,2,0,37,94,0,0,11,0,0,0,11,9,0,0,18,0,0,3,1,0,0,0,1,0,0,0,0,0,111,6,PSOE,"0,7","0,7",0,0,"0,3",0,0,"36,6","0,7",0,"12,2",31,0,0,"3,6",0,0,0,"3,6",3,0,0,"5,9",0,0,1,"0,3",0,0,0,"0,3",0,0,0,0,0,"Sección 22,Distrito 1"
2900801001,Alhaurín el Grande,1001,1,1,339,1,4,0,0,2,0,0,122,1,1,33,131,0,0,2,0,0,0,10,4,0,0,22,0,0,2,0,0,0,0,3,1,0,0,0,0,131,10,PP,"0,3","1,2",0,0,"0,6",0,0,36,"0,3","0,3","9,7","38,6",0,0,"0,6",0,0,0,"2,9","1,2",0,0,"6,5",0,0,"0,6",0,0,0,0,"0,9","0,3",0,0,0,0,"Sección 1,Distrito 1"
2900801002,Alhaurín el Grande,1002,2,1,584,7,14,1,1,0,0,0,108,3,1,77,282,0,0,3,0,0,0,12,3,1,0,58,0,0,2,2,1,0,2,2,1,2,0,0,1,282,10,PP,"1,2","2,4","0,2","0,2",0,0,0,"18,5","0,5","0,2","13,2","48,3",0,0,"0,5",0,0,0,"2,1","0,5","0,2",0,"9,9",0,0,"0,3","0,3","0,2",0,"0,3","0,3","0,2","0,3",0,0,"0,2","Sección 2,Distrito 1"
2900801003,Alhaurín el Grande,1003,3,1,583,2,5,0,0,1,0,0,168,3,0,84,221,1,0,4,1,0,0,18,4,0,0,69,0,0,1,1,0,0,0,0,0,0,0,0,0,221,10,PP,"0,3","0,9",0,0,"0,2",0,0,"28,8","0,5",0,"14,4","37,9","0,2",0,"0,7","0,2",0,0,"3,1","0,7",0,0,"11,8",0,0,"0,2","0,2",0,0,0,0,0,0,0,0,0,"Sección 3,Distrito 1"
2900801004,Alhaurín el Grande,1004,4,1,314,1,0,0,0,2,0,0,93,0,1,29,144,0,0,3,0,0,0,8,2,0,0,26,0,0,3,0,0,0,0,2,0,0,0,0,0,144,10,PP,"0,3",0,0,0,"0,6",0,0,"29,6",0,"0,3","9,2","45,9",0,0,1,0,0,0,"2,5","0,6",0,0,"8,3",0,0,1,0,0,0,0,"0,6",0,0,0,0,0,"Sección 4,Distrito 1"
2900801006,Alhaurín el Grande,1006,6,1,422,3,3,0,1,1,0,0,90,1,1,86,165,0,0,13,0,0,0,11,2,0,0,41,0,0,2,1,0,0,0,1,0,0,0,0,0,165,10,PP,"0,7","0,7",0,"0,2","0,2",0,0,"21,3","0,2","0,2","20,4","39,1",0,0,"3,1",0,0,0,"2,6","0,5",0,0,"9,7",0,0,"0,5","0,2",0,0,0,"0,2",0,0,0,0,0,"Sección 6,Distrito 1"
2900801007,Alhaurín el Grande,1007,7,1,412,3,6,0,0,3,0,0,102,0,3,53,168,0,0,6,2,0,0,16,1,0,0,47,0,0,0,0,0,0,0,1,1,0,0,0,0,168,10,PP,"0,7","1,5",0,0,"0,7",0,0,"24,8",0,"0,7","12,9","40,8",0,0,"1,5","0,5",0,0,"3,9","0,2",0,0,"11,4",0,0,0,0,0,0,0,"0,2","0,2",0,0,0,0,"Sección 7,Distrito 1"
2900801008,Alhaurín el Grande,1008,8,1,429,4,3,0,0,4,0,0,91,2,0,58,186,0,0,6,0,0,0,20,4,1,0,47,0,0,1,1,0,0,0,1,0,0,0,0,0,186,10,PP,"0,9","0,7",0,0,"0,9",0,0,"21,2","0,5",0,"13,5","43,4",0,0,"1,4",0,0,0,"4,7","0,9","0,2",0,11,0,0,"0,2","0,2",0,0,0,"0,2",0,0,0,0,0,"Sección 8,Distrito 1"
